"feature","z","cell_type","cell"
"feature 4",-0.14566587065409828,"cell type 1","C68_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C68_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C68_p2d1"
"feature 8",1.4183404081049085,"cell type 1","C68_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C68_p2d1"
"feature 1",1.09853054661347,"cell type 1","C68_p2d1"
"feature 6",0.8381525042894644,"cell type 3","C69_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C69_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C69_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C69_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C69_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C69_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C69_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C69_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C69_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C69_p2d1"
"feature 1",0.7626917136758593,"cell type 3","C69_p2d1"
"feature 6",0.906919734733698,"cell type 1","C7_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C7_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C7_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C7_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C7_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C7_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C7_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C7_p2d1"
"feature 8",1.4057554764673885,"cell type 1","C7_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C7_p2d1"
"feature 1",1.0962154273462963,"cell type 1","C7_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C70_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C70_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C70_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C70_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C70_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C70_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C70_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C70_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C70_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C70_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C70_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C71_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C71_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C71_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C71_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C71_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C71_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C71_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C71_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C71_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C71_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C71_p2d1"
"feature 6",0.9418728760330931,"cell type 1","C72_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C72_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C72_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C72_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C72_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C72_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C72_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C72_p2d1"
"feature 8",1.4387667214095061,"cell type 1","C72_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C72_p2d1"
"feature 1",1.177903142359211,"cell type 1","C72_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C73_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C73_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C73_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C73_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C73_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C73_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C73_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C73_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C73_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C73_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C73_p2d1"
"feature 6",-1.1388320602903428,"cell type 2","C74_p2d1"
"feature 5",3.484346254075672,"cell type 2","C74_p2d1"
"feature 13",6.722451167089542,"cell type 2","C74_p2d1"
"feature 12",6.532898181244977,"cell type 2","C74_p2d1"
"feature 9",4.17941120791538,"cell type 2","C74_p2d1"
"feature 4",6.408036108884381,"cell type 2","C74_p2d1"
"feature 3",-0.1025978352085154,"cell type 2","C74_p2d1"
"feature 14",3.9734349583198356,"cell type 2","C74_p2d1"
"feature 8",-0.7226615258198633,"cell type 2","C74_p2d1"
"feature 11",-0.17834563701176792,"cell type 2","C74_p2d1"
"feature 1",-0.9768320309731796,"cell type 2","C74_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C75_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C75_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C75_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C75_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C75_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C75_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C75_p2d1"
"feature 14",3.9440262043409633,"cell type 3","C75_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C75_p2d1"
"feature 11",6.4075752161744335,"cell type 3","C75_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C75_p2d1"
"feature 6",0.9142562409229138,"cell type 3","C76_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C76_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C76_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C76_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C76_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C76_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C76_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C76_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C76_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C76_p2d1"
"feature 1",0.8327732689093835,"cell type 3","C76_p2d1"
"feature 6",0.7678109434744158,"cell type 3","C77_p2d1"
"feature 5",2.6314588195563666,"cell type 3","C77_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C77_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C77_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C77_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C77_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C77_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C77_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C77_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C77_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C77_p2d1"
"feature 6",0.8744887721373144,"cell type 3","C78_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C78_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C78_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C78_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C78_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C78_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C78_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C78_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C78_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C78_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C78_p2d1"
"feature 6",1.105992605035043,"cell type 1","C79_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C79_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C79_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C79_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C79_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C79_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C79_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C79_p2d1"
"feature 8",1.5534659411232465,"cell type 1","C79_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C79_p2d1"
"feature 1",1.264852445461421,"cell type 1","C79_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C8_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C8_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C8_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C8_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C8_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C8_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C8_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C8_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C8_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C8_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C8_p2d1"
"feature 6",0.7708205601234669,"cell type 2","C80_p2d1"
"feature 5",2.6909254088697456,"cell type 2","C80_p2d1"
"feature 13",-0.14586758630948066,"cell type 2","C80_p2d1"
"feature 12",-0.14577942302368183,"cell type 2","C80_p2d1"
"feature 9",4.322812480264257,"cell type 2","C80_p2d1"
"feature 4",-0.14566587065409828,"cell type 2","C80_p2d1"
"feature 3",-0.1025978352085154,"cell type 2","C80_p2d1"
"feature 14",3.57948901627069,"cell type 2","C80_p2d1"
"feature 8",-0.7226615258198633,"cell type 2","C80_p2d1"
"feature 11",-0.17834563701176792,"cell type 2","C80_p2d1"
"feature 1",0.8032644142098264,"cell type 2","C80_p2d1"
"feature 6",0.875290078741145,"cell type 1","C81_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C81_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C81_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C81_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C81_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C81_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C81_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C81_p2d1"
"feature 8",1.4721156460957814,"cell type 1","C81_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C81_p2d1"
"feature 1",1.167243701345552,"cell type 1","C81_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C82_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C82_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C82_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C82_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C82_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C82_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C82_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C82_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C82_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C82_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C82_p2d1"
"feature 6",0.9581110205901152,"cell type 1","C83_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C83_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C83_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C83_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C83_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C83_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C83_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C83_p2d1"
"feature 8",1.542458425657964,"cell type 1","C83_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C83_p2d1"
"feature 1",1.2377786358028693,"cell type 1","C83_p2d1"
"feature 6",0.769436906027636,"cell type 1","C84_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C84_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C84_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C84_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C84_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C84_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C84_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C84_p2d1"
"feature 8",1.2747667115202195,"cell type 1","C84_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C84_p2d1"
"feature 1",1.0348042311780428,"cell type 1","C84_p2d1"
"feature 6",0.7874247944820576,"cell type 3","C85_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C85_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C85_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C85_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C85_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C85_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C85_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C85_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C85_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C85_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C85_p2d1"
"feature 6",0.8338807620282896,"cell type 1","C86_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C86_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C86_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C86_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C86_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C86_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C86_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C86_p2d1"
"feature 8",1.3738885813972141,"cell type 1","C86_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C86_p2d1"
"feature 1",1.1256525732823373,"cell type 1","C86_p2d1"
"feature 6",0.7624559316935406,"cell type 1","C87_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C87_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C87_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C87_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C87_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C87_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C87_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C87_p2d1"
"feature 8",1.0748436767707341,"cell type 1","C87_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C87_p2d1"
"feature 1",0.8600413565643282,"cell type 1","C87_p2d1"
"feature 6",0.8098473899371378,"cell type 3","C88_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C88_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C88_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C88_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C88_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C88_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C88_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C88_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C88_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C88_p2d1"
"feature 1",0.7820760765709612,"cell type 3","C88_p2d1"
"feature 6",0.7789182953371788,"cell type 3","C89_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C89_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C89_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C89_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C89_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C89_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C89_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C89_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C89_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C89_p2d1"
"feature 1",0.7927404498206105,"cell type 3","C89_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C9_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C9_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C9_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C9_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C9_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C9_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C9_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C9_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C9_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C9_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C9_p2d1"
"feature 6",0.971597706801287,"cell type 1","C90_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C90_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C90_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C90_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C90_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C90_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C90_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C90_p2d1"
"feature 8",1.4702383024855485,"cell type 1","C90_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C90_p2d1"
"feature 1",1.1723237880259938,"cell type 1","C90_p2d1"
"feature 6",0.7815762946650974,"cell type 1","C91_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C91_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C91_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C91_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C91_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C91_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C91_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C91_p2d1"
"feature 8",1.402137772282445,"cell type 1","C91_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C91_p2d1"
"feature 1",1.119376958163946,"cell type 1","C91_p2d1"
"feature 6",0.832002863343805,"cell type 1","C92_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C92_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C92_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C92_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C92_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C92_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C92_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C92_p2d1"
"feature 8",1.3435330128083078,"cell type 1","C92_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C92_p2d1"
"feature 1",1.0932629961196907,"cell type 1","C92_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C93_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C93_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C93_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C93_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C93_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C93_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C93_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C93_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C93_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C93_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C93_p2d1"
"feature 6",1.0549331174874332,"cell type 1","C94_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C94_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C94_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C94_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C94_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C94_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C94_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C94_p2d1"
"feature 8",1.6275133112723643,"cell type 1","C94_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C94_p2d1"
"feature 1",1.3255482933862122,"cell type 1","C94_p2d1"
"feature 6",0.9190182030495953,"cell type 1","C95_p2d1"
"feature 5",-0.33875688177284585,"cell type 1","C95_p2d1"
"feature 13",-0.14586758630948066,"cell type 1","C95_p2d1"
"feature 12",-0.14577942302368183,"cell type 1","C95_p2d1"
"feature 9",-0.23406159706417845,"cell type 1","C95_p2d1"
"feature 4",-0.14566587065409828,"cell type 1","C95_p2d1"
"feature 3",-0.1025978352085154,"cell type 1","C95_p2d1"
"feature 14",-0.25747575301891973,"cell type 1","C95_p2d1"
"feature 8",1.3678737047950864,"cell type 1","C95_p2d1"
"feature 11",-0.17834563701176792,"cell type 1","C95_p2d1"
"feature 1",1.1153028316181086,"cell type 1","C95_p2d1"
"feature 6",-1.1388320602903428,"cell type 3","C96_p2d1"
"feature 5",-0.33875688177284585,"cell type 3","C96_p2d1"
"feature 13",-0.14586758630948066,"cell type 3","C96_p2d1"
"feature 12",-0.14577942302368183,"cell type 3","C96_p2d1"
"feature 9",-0.23406159706417845,"cell type 3","C96_p2d1"
"feature 4",-0.14566587065409828,"cell type 3","C96_p2d1"
"feature 3",-0.1025978352085154,"cell type 3","C96_p2d1"
"feature 14",-0.25747575301891973,"cell type 3","C96_p2d1"
"feature 8",-0.7226615258198633,"cell type 3","C96_p2d1"
"feature 11",-0.17834563701176792,"cell type 3","C96_p2d1"
"feature 1",-0.9768320309731796,"cell type 3","C96_p2d1"
"feature 6",-0.8715663157710435,"cell type 3","C1_p1d2"
"feature 5",-0.24806137633345193,"cell type 3","C1_p1d2"
"feature 13",-0.24737844617939408,"cell type 3","C1_p1d2"
"feature 12",-0.189282217403435,"cell type 3","C1_p1d2"
"feature 9",-0.27306975955053625,"cell type 3","C1_p1d2"
"feature 7",-0.24662245673054622,"cell type 3","C1_p1d2"
"feature 4",-0.10846522890932807,"cell type 3","C1_p1d2"
"feature 3",-0.10846522890932808,"cell type 3","C1_p1d2"
"feature 14",-0.24820998990426799,"cell type 3","C1_p1d2"
"feature 8",-0.4016171803998288,"cell type 3","C1_p1d2"
"feature 11",-0.24766766371746565,"cell type 3","C1_p1d2"
"feature 1",-0.4200623497172777,"cell type 3","C1_p1d2"
"feature 6",-0.8715663157710435,"cell type 3","C10_p1d2"
"feature 5",-0.24806137633345193,"cell type 3","C10_p1d2"
"feature 13",-0.24737844617939408,"cell type 3","C10_p1d2"
"feature 12",-0.189282217403435,"cell type 3","C10_p1d2"
"feature 9",-0.27306975955053625,"cell type 3","C10_p1d2"
"feature 7",-0.24662245673054622,"cell type 3","C10_p1d2"
"feature 4",-0.10846522890932807,"cell type 3","C10_p1d2"
"feature 3",-0.10846522890932808,"cell type 3","C10_p1d2"
"feature 14",-0.24820998990426799,"cell type 3","C10_p1d2"
"feature 8",-0.4016171803998288,"cell type 3","C10_p1d2"
"feature 11",-0.24766766371746565,"cell type 3","C10_p1d2"
"feature 1",-0.4200623497172777,"cell type 3","C10_p1d2"
"feature 6",-0.8715663157710435,"cell type 3","C11_p1d2"
"feature 5",-0.24806137633345193,"cell type 3","C11_p1d2"
"feature 13",-0.24737844617939408,"cell type 3","C11_p1d2"
"feature 12",-0.189282217403435,"cell type 3","C11_p1d2"
"feature 9",-0.27306975955053625,"cell type 3","C11_p1d2"
"feature 7",-0.24662245673054622,"cell type 3","C11_p1d2"
"feature 4",-0.10846522890932807,"cell type 3","C11_p1d2"
"feature 3",-0.10846522890932808,"cell type 3","C11_p1d2"
"feature 14",-0.24820998990426799,"cell type 3","C11_p1d2"
"feature 8",-0.4016171803998288,"cell type 3","C11_p1d2"
"feature 11",-0.24766766371746565,"cell type 3","C11_p1d2"
"feature 1",-0.4200623497172777,"cell type 3","C11_p1d2"
"feature 6",1.0461408324176693,"cell type 3","C12_p1d2"
"feature 5",-0.24806137633345193,"cell type 3","C12_p1d2"
"feature 13",-0.24737844617939408,"cell type 3","C12_p1d2"
"feature 12",-0.189282217403435,"cell type 3","C12_p1d2"
"feature 9",-0.27306975955053625,"cell type 3","C12_p1d2"
"feature 7",-0.24662245673054622,"cell type 3","C12_p1d2"
"feature 4",-0.10846522890932807,"cell type 3","C12_p1d2"
"feature 3",-0.10846522890932808,"cell type 3","C12_p1d2"
"feature 14",-0.24820998990426799,"cell type 3","C12_p1d2"
"feature 8",-0.4016171803998288,"cell type 3","C12_p1d2"
"feature 11",-0.24766766371746565,"cell type 3","C12_p1d2"
"feature 1",-0.4200623497172777,"cell type 3","C12_p1d2"
"feature 6",-0.8715663157710435,"cell type 3","C13_p1d2"
"feature 5",-0.24806137633345193,"cell type 3","C13_p1d2"
"feature 13",-0.24737844617939408,"cell type 3","C13_p1d2"
"feature 12",-0.189282217403435,"cell type 3","C13_p1d2"
"feature 9",-0.27306975955053625,"cell type 3","C13_p1d2"
"feature 7",-0.24662245673054622,"cell type 3","C13_p1d2"
"feature 4",-0.10846522890932807,"cell type 3","C13_p1d2"
"feature 3",-0.10846522890932808,"cell type 3","C13_p1d2"
"feature 14",-0.24820998990426799,"cell type 3","C13_p1d2"
"feature 8",-0.4016171803998288,"cell type 3","C13_p1d2"
"feature 11",-0.24766766371746565,"cell type 3","C13_p1d2"
"feature 1",-0.4200623497172777,"cell type 3","C13_p1d2"
"feature 6",1.2556913400739773,"cell type 1","C14_p1d2"
"feature 5",-0.24806137633345193,"cell type 1","C14_p1d2"
"feature 13",-0.24737844617939408,"cell type 1","C14_p1d2"
"feature 12",-0.189282217403435,"cell type 1","C14_p1d2"
"feature 9",-0.27306975955053625,"cell type 1","C14_p1d2"
"feature 7",-0.24662245673054622,"cell type 1","C14_p1d2"
"feature 4",-0.10846522890932807,"cell type 1","C14_p1d2"
"feature 3",-0.10846522890932808,"cell type 1","C14_p1d2"
"feature 14",-0.24820998990426799,"cell type 1","C14_p1d2"
"feature 8",2.4817361512250318,"cell type 1","C14_p1d2"
"feature 11",-0.24766766371746565,"cell type 1","C14_p1d2"
"feature 1",2.407704260303141,"cell type 1","C14_p1d2"
"feature 6",1.2715157335051934,"cell type 1","C16_p1d2"
"feature 5",-0.24806137633345193,"cell type 1","C16_p1d2"
"feature 13",-0.24737844617939408,"cell type 1","C16_p1d2"
"feature 12",-0.189282217403435,"cell type 1","C16_p1d2"
"feature 9",-0.27306975955053625,"cell type 1","C16_p1d2"
"feature 7",-0.24662245673054622,"cell type 1","C16_p1d2"
"feature 4",-0.10846522890932807,"cell type 1","C16_p1d2"
"feature 3",-0.10846522890932808,"cell type 1","C16_p1d2"
"feature 14",-0.24820998990426799,"cell type 1","C16_p1d2"
"feature 8",2.6071226332448307,"cell type 1","C16_p1d2"
"feature 11",-0.24766766371746565,"cell type 1","C16_p1d2"
"feature 1",2.5407017961621534,"cell type 1","C16_p1d2"
"feature 6",1.1114374768669968,"cell type 3","C17_p1d2"
"feature 5",-0.24806137633345193,"cell type 3","C17_p1d2"
"feature 13",-0.24737844617939408,"cell type 3","C17_p1d2"
"feature 12",-0.189282217403435,"cell type 3","C17_p1d2"
"feature 9",-0.27306975955053625,"cell type 3","C17_p1d2"
"feature 7",-0.24662245673054622,"cell type 3","C17_p1d2"
"feature 4",-0.10846522890932807,"cell type 3","C17_p1d2"
"feature 3",-0.10846522890932808,"cell type 3","C17_p1d2"
"feature 14",-0.24820998990426799,"cell type 3","C17_p1d2"
