"row","col","value"
"CRO-08G020920.1","0",-0.3484754876112917
"CRO-03G019700.2","0",1.7677690008463953
"CRO-05G018220.2","0",0.22418468605075365
"CRO-06G024180.1","0",0.14257331197321127
"CRO-08G014980.1","0",-0.4003271533366924
"CRO-08G014590.2","0",-0.3291739738228729
"CRO-04G030600.1","0",-0.8861479892507185
"CRO-04G001800.9","0",-1.260979283936815
"CRO-03G026610.3","0",-0.1761451559829175
"CRO-04G009900.1","0",-0.13022747294729395
"CRO-04G008370.2","0",0.32657716193284236
"CRO-01G005120.1","0",-0.9014394895181475
"CRO-07G006250.6","0",-0.39646802112804974
"CRO-02G028570.13","0",-0.30415565903391567
"CRO-08G018600.1","0",-0.3421025180516403
"CRO-01G024990.3","0",0.2430251533880359
"CRO-03G031320.1","0",-0.662656865281101
"CRO-01G007750.2","0",-0.23520178950634887
"CRO-08G030800.1","0",-1.6094218998143934
"CRO-07G002670.2","0",-0.6516889162213024
"CRO-04G033280.1","0",0.46145257520161004
"CRO-06G014280.1","0",1.4342536749232342
"CRO-05G021180.7","0",0.10173228699655468
"CRO-01G006100.1","0",0.13109663478274766
"CRO-08G013050.2","0",-0.36764511729956834
"CRO-01G006090.3","0",-0.9305635464566488
"CRO-01G000680.1","0",-0.29184232689730755
"CRO-02G019260.5","0",-0.9312754407462286
"CRO-08G014650.3","0",0.3217681220204483
"CRO-04G031830.1","0",-0.34760766632171997
"CRO-01G014190.1","0",-0.6042448845100199
"CRO-02G015770.1","0",-0.7382800220242385
"CRO-07G005780.1","0",-0.0457316529168259
"CRO-01G034010.1","0",-1.0379466063637723
"CRO-05G006930.3","0",-1.1379367355494932
"CRO-05G028100.3","0",-0.2497273596099594
"CRO-02G022000.2","0",-0.0841991537961605
"CRO-05G007640.1","0",0.9994503212539653
"CRO-04G029290.1","0",1.851783551691146
"CRO-03G003080.1","0",1.5231786588698306
"CRO-08G001840.2","0",-0.5422529997358259
"CRO-07G019160.12","0",0.15673236660088022
"CRO-06G025620.3","0",-0.29375345445248974
"CRO-02G017000.1","0",-0.4385595822936488
"CRO-05G011340.1","0",-0.2822429483707237
"CRO-08G022080.1","0",1.216184016434068
"CRO-01G001630.1","0",0.12288017790921343
"CRO-06G021340.1","0",-0.5051171074950433
"CRO-02G029470.3","0",-0.02182976575559828
"CRO-07G006900.2","0",-0.33755223105953525
"CRO-05G007870.1","0",-0.06025411830764465
"CRO-06G007450.4","0",-0.3809001337659705
"CRO-01G022650.6","0",0.33600039286153777
"CRO-08G004990.4","0",-0.6044308480668941
"CRO-02G028320.2","0",1.1523302445507368
"CRO-06G022870.2","0",-0.33446846067287783
"CRO-01G031480.3","0",-1.397664665055642
"CRO-02G008910.1","0",-0.6985285973082717
"CRO-06G018090.5","0",-1.0501744198874232
"CRO-03G000330.1","0",-0.28804952524822847
"CRO-06G029680.4","0",-1.4639265098215692
"CRO-06G012530.5","0",-0.4045490161472838
"CRO-02G012860.1","0",0.1484060909910546
"CRO-03G009410.3","0",1.1173781516034018
"CRO-07G009610.1","0",-0.16949319045619637
"CRO-06G025630.2","0",-0.6905644651403093
"CRO-02G017200.3","0",-0.530909891324584
"CRO-08G014920.2","0",0.009422214434381621
"CRO-02G029140.3","0",-0.49033874805055616
"CRO-01G015190.1","0",-0.4108197533132319
"CRO-07G015240.2","0",0.5173271471134723
"CRO-08G028250.2","0",-1.332784114129811
"CRO-05G013200.1","0",-0.28938110127782946
"CRO-02G026440.1","0",-0.3483306742862615
"CRO-04G028400.1","0",0.18086071622113123
"CRO-04G020430.1","0",-1.1128137012190005
"CRO-05G010900.1","0",-0.6772112973157384
"CRO-03G000080.7","0",-1.3435230172738517
"CRO-01G009120.5","0",0.4975963682608946
"CRO-05G006550.6","0",-0.6220764995725092
"CRO-05G028520.10","0",-0.5098532405529179
"CRO-06G028270.6","0",0.1899324341047103
"CRO-08G013320.5","0",-0.3175516809904409
"CRO-04G002620.8","0",-0.19269352792593658
"CRO-06G007970.1","0",-0.8109652387258026
"CRO-03G002230.1","0",-0.46832746586352636
"CRO-04G030030.2","0",-0.8381269564747648
"CRO-08G018220.4","0",-0.5198607928513637
"CRO-04G027680.2","0",-0.23629062062270523
"CRO-08G009500.2","0",-0.7854183425191318
"CRO-01G011790.2","0",-0.4386955861222807
"CRO-04G004300.1","0",0.1539431215346911
"CRO-08G007680.2","0",-0.43146906185495626
"CRO-06G019860.2","0",-0.9912203909784827
"CRO-01G021290.4","0",-1.1973413366540329
"CRO-08G022410.2","0",-0.36722220988024873
"CRO-02G018010.7","0",-0.5006904854391443
"CRO-08G010880.1","0",0.31573090549948524
"CRO-02G016960.3","0",0.09514432658741862
"CRO-04G001530.1","0",-0.04545710176452355
"CRO-01G025460.2","0",0.25966621333116696
"CRO-07G014110.1","0",0.025566762316012848
"CRO-01G003300.1","0",-0.21759831349577657
"CRO-08G005300.2","0",0.18327257188955742
