"from","to","r","t","p.value","FDR","Type"
"CRO-01G007620","CRO-02G001090",-0.7842547012736545,-4.557531842398086,2.6885302240252666e-4,0.009903185667755873,"co-expressed"
"CRO-01G011240","CRO-02G001090",0.9991751712445037,88.71682451535459,8.867485441601118e-20,6.8776522860418325e-15,"co-expressed"
"CRO-01G014580","CRO-02G001090",0.887624386755348,6.948756201782286,5.042800656773813e-6,4.50815555534519e-4,"co-expressed"
"CRO-01G020710","CRO-02G001090",0.99858421526054,67.68563895865033,2.966920098891752e-18,7.09930322599178e-14,"co-expressed"
"CRO-01G023900","CRO-02G001090",0.9259696391476313,8.841761009601495,3.6785691446330366e-7,5.124185079931788e-5,"co-expressed"
"CRO-01G027000","CRO-02G001090",0.9413861480783339,10.06197850203422,8.3734555957705e-8,1.4821164665580798e-5,"co-expressed"
"CRO-01G027990","CRO-02G001090",0.9849981243118445,20.58042069175865,1.3233093723409437e-11,1.0338498109544522e-8,"co-expressed"
"CRO-01G030290","CRO-02G001090",0.9736787838664842,15.402675685102414,4.976116745742216e-10,2.0350687722918292e-7,"co-expressed"
"CRO-01G030300","CRO-02G001090",-0.9756676037117633,-16.044425878182054,3.000427263051068e-10,1.3341328499392342e-7,"co-expressed"
"CRO-01G030570","CRO-02G001090",0.9394819418464925,9.887232586656673,1.0259748696208454e-7,1.7547879172501456e-5,"co-expressed"
"CRO-01G030620","CRO-02G001090",-0.8032946713911753,-4.863009860451444,1.5493416986038492e-4,0.006571915581048547,"co-expressed"
"CRO-01G030870","CRO-02G001090",-0.8312957775747332,-5.392436348545279,6.136076891458831e-5,0.003257238494315533,"co-expressed"
"CRO-02G000180","CRO-02G001090",0.8397394269760662,5.576025062160396,4.49046467860463e-5,0.0025579783913768426,"co-expressed"
"CRO-02G000920","CRO-02G001090",0.9998138213192295,186.82330690512515,5.580096055402971e-24,2.5102062105230265e-17,"co-expressed"
"CRO-02G001090","CRO-02G002580",0.994506674284517,34.256576292676655,1.974819051833978e-14,5.6801301180787414e-11,"co-expressed"
"CRO-01G032400","CRO-02G002960",0.8358976910736139,5.490896000933508,5.186987666332979e-5,0.0028609030679769393,"co-expressed"
"CRO-01G006750","CRO-02G003890",0.9941416803375666,33.16312289482825,2.9973938213952427e-14,8.011750508346108e-11,"co-expressed"
"CRO-01G010020","CRO-02G003890",0.9516782076680199,11.173421367839564,2.447466126285338e-8,5.293488325926531e-6,"co-expressed"
"CRO-01G027010","CRO-02G003890",0.9919127691743136,28.177994495588322,2.424400363488713e-13,4.253574506690318e-10,"co-expressed"
"CRO-01G032400","CRO-02G004380",0.8337782733490902,5.445088516413699,5.6078172300878366e-5,0.0030368447687524986,"co-expressed"
"CRO-01G006740","CRO-02G005470",0.9129021637637076,8.063913311658084,1.0246862175399697e-6,1.208206895995899e-4,"co-expressed"
"CRO-01G006750","CRO-02G005470",0.9223295370709333,8.606289021182096,4.980736465871406e-7,6.611343461706262e-5,"co-expressed"
"CRO-01G010020","CRO-02G005470",0.9014347646665578,7.507639015688494,2.2254865764139168e-6,2.3017246497293952e-4,"co-expressed"
"CRO-01G027010","CRO-02G005470",0.9257527593407076,8.827267100324583,3.7471888218113083e-07,5.207033303962614e-5,"co-expressed"
"CRO-01G030490","CRO-02G005470",0.9121193235421399,8.022673939894865,1.0839535669213248e-6,1.2660102608774481e-4,"co-expressed"
"CRO-01G030540","CRO-02G005470",0.9251137459601173,8.784914908898577,3.9556297755444043e-07,5.450713883871378e-5,"co-expressed"
